Id,DateAware,DateSubmitted,DataBreachCause,DateStart,DateEnd,Name,CyberattackType,WashingtoniansAffected,IndustryType,BusinessType,InformationType,Year,WashingtoniansAffectedRange,BreachLifecycleRange,EntityState
9707,02/06/2017 12:00:00 AM,05/24/2017 12:00:00 AM,Cyberattack,2016-02-26T00:00:00,2016-12-05T00:00:00,"Incipio, LLC",Unclear/unknown,1650.0,Business,Accessories,Other,2017,"1,000-9,999",300-399,
9708,05/26/2017 12:00:00 AM,05/26/2017 12:00:00 AM,Unauthorized Access,2013-10-23T00:00:00,2017-03-31T00:00:00,"Kennewick Public Hospital District, dba Trios Health",,942.0,Health,,Name,2017,500-999,500+,
9708,05/26/2017 12:00:00 AM,05/26/2017 12:00:00 AM,Unauthorized Access,2013-10-23T00:00:00,2017-03-31T00:00:00,"Kennewick Public Hospital District, dba Trios Health",,942.0,Health,,Medical Information,2017,500-999,500+,
9710,04/18/2017 12:00:00 AM,06/05/2017 12:00:00 AM,Unauthorized Access,2016-08-10T00:00:00,2017-02-09T00:00:00,"GameStop, Inc.",,27956.0,Business,Retail,Name,2017,"10,000-49,999",200-299,
9710,04/18/2017 12:00:00 AM,06/05/2017 12:00:00 AM,Unauthorized Access,2016-08-10T00:00:00,2017-02-09T00:00:00,"GameStop, Inc.",,27956.0,Business,Retail,Financial & Banking Information,2017,"10,000-49,999",200-299,
9710,04/18/2017 12:00:00 AM,06/05/2017 12:00:00 AM,Unauthorized Access,2016-08-10T00:00:00,2017-02-09T00:00:00,"GameStop, Inc.",,27956.0,Business,Retail,Other,2017,"10,000-49,999",200-299,
9712,04/26/2017 12:00:00 AM,06/08/2017 12:00:00 AM,Theft or Mistake,,,Washington State University,,769088.0,Education,,Name,2017,"50,000-999,999",Unknown,
9712,04/26/2017 12:00:00 AM,06/08/2017 12:00:00 AM,Theft or Mistake,,,Washington State University,,769088.0,Education,,Social Security Number,2017,"50,000-999,999",Unknown,
9712,04/26/2017 12:00:00 AM,06/08/2017 12:00:00 AM,Theft or Mistake,,,Washington State University,,769088.0,Education,,Medical Information,2017,"50,000-999,999",Unknown,
9712,04/26/2017 12:00:00 AM,06/08/2017 12:00:00 AM,Theft or Mistake,,,Washington State University,,769088.0,Education,,Other,2017,"50,000-999,999",Unknown,
9714,05/17/2017 12:00:00 AM,06/20/2017 12:00:00 AM,Cyberattack,2016-11-01T00:00:00,2017-03-30T00:00:00,Home Point Financial Corporation,Phishing,815.0,Finance,,Name,2017,500-999,100-199,
9714,05/17/2017 12:00:00 AM,06/20/2017 12:00:00 AM,Cyberattack,2016-11-01T00:00:00,2017-03-30T00:00:00,Home Point Financial Corporation,Phishing,815.0,Finance,,Social Security Number,2017,500-999,100-199,
